title,id
Toy Story,862
Jumanji,8844
Grumpier Old Men,15602
Waiting to Exhale,31357
Father of the Bride Part II,11862
Heat,949
Sabrina,11860
Tom and Huck,45325
Sudden Death,9091
GoldenEye,710
The American President,9087
Dracula: Dead and Loving It,12110
Balto,21032
Nixon,10858
Cutthroat Island,1408
Casino,524
Sense and Sensibility,4584
Four Rooms,5
Ace Ventura: When Nature Calls,9273
Money Train,11517
Get Shorty,8012
Copycat,1710
Assassins,9691
Powder,12665
Leaving Las Vegas,451
Othello,16420
Now and Then,9263
Persuasion,17015
The City of Lost Children,902
Shanghai Triad,37557
Dangerous Minds,9909
Twelve Monkeys,63
Wings of Courage,78802
Babe,9598
Carrington,47018
Dead Man Walking,687
Across the Sea of Time,139405
It Takes Two,33689
Clueless,9603
"Cry, the Beloved Country",34615
Richard III,31174
Dead Presidents,11443
Restoration,35196
Mortal Kombat,9312
To Die For,577
How To Make An American Quilt,11861
Se7en,807
Pocahontas,10530
When Night Is Falling,8391
The Usual Suspects,629
Guardian Angel,117164
Mighty Aphrodite,11448
Lamerica,49133
The Big Green,26441
Georgia,97406
Kids of the Round Table,124057
Home for the Holidays,9089
The Postman,11010
The Confessional,99040
The Indian in the Cupboard,11359
Eye for an Eye,17182
Mr. Holland's Opus,2054
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,10607
Two If by Sea,19760
Bio-Dome,9536
Lawnmower Man 2: Beyond Cyberspace,11525
Two Bits,40628
French Twist,4482
Friday,10634
From Dusk Till Dawn,755
Fair Game,11859
Kicking and Screaming,28387
Les Miserables,48750
Bed of Roses,20927
Big Bully,36929
Screamers,9102
Nico Icon,124626
The Crossing Guard,27526
The Juror,9623
The White Balloon,46785
Things to Do in Denver When You're Dead,400
Antonia's Line,880
Once Upon a Time... When We Were Colored,146599
Last Summer in the Hamptons,188588
Angels and Insects,8447
White Squall,10534
Dunston Checks In,17414
Black Sheep,13997
Nick of Time,2086
The Journey of August King,61548
Mary Reilly,9095
Vampire in Brooklyn,12158
Beautiful Girls,9283
Broken Arrow,9208
A Midwinter's Tale,40154
La Haine,406
Shopping,45549
Heidi Fleiss: Hollywood Madam,63076
City Hall,11062
Bottle Rocket,13685
Mr. Wrong,47475
Unforgettable,2045
Happy Gilmore,9614
The Bridges of Madison County,688
Nobody Loves Me,11907
Muppet Treasure Island,10874
Catwalk,89333
Headless Body in Topless Bar,96357
Braveheart,197
Taxi Driver,103
Rumble in the Bronx,33542
Before and After,43566
Margaret's Museum,71754
Happiness Is in the Field,43612
Anne Frank Remembered,51352
The Young Poisoner's Handbook,16934
If Lucy Fell,10324
Steal Big Steal Little,78406
Race the Sun,55731
The Boys of St. Vincent,32119
Boomerang,11066
Chungking Express,11104
The Star Maker,37975
Flirting with Disaster,2074
The Neverending Story III: Escape from Fantasia,27793
The Silences of the Palace,44284
Jupiter's Wife,290157
Pie in the Sky,110972
Angela,32622
Frankie Starlight,73067
Jade,11863
Nueba Yol,55475
Sonic Outlaws,124636
Down Periscope,9101
From the Journals of Jean Seberg,123360
Man of the Year,5757
The Neon Bible,39428
Target,124639
Up Close & Personal,9302
The Birdcage,11000
Virgin Mary,249882
The Brothers McMullen,16388
Bad Boys,9737
The Amazing Panda Adventure,30765
The Basketball Diaries,10474
An Awfully Big Adventure,22279
Amateur,30157
Apollo 13,568
Rob Roy,11780
The Addiction,34996
Batman Forever,414
Belle de Jour,649
Beyond Rangoon,1873
Blue in the Face,5894
Canadian Bacon,1775
Casper,8839
Clockers,20649
Congo,10329
Crimson Tide,8963
Crumb,26564
Desperado,8068
Devil in a Blue Dress,8512
Die Hard: With a Vengeance,1572
The Doom Generation,13552
Feast of July,259209
First Knight,6520
Free Willy 2 - The Adventure Home,9073
Hackers,10428
Jeffrey,17447
Johnny Mnemonic,9886
Judge Dredd,9482
Jury Duty,19326
Kids,9344
Living in Oblivion,9071
Lord of Illusions,8973
Love & Human Remains,15730
Mad Love,47608
Mallrats,2293
Mighty Morphin Power Rangers: The Movie,9070
Moonlight and Valentino,68274
Mute Witness,48787
Nadja,34574
The Net,1642
Nine Months,11472
Party Girl,36196
The Prophecy,11980
Reckless,58372
Safe,32646
The Scarlet Letter,10533
The Show,56088
Showgirls,10802
Smoke,10149
Something to Talk About,18402
Species,9348
The Stars Fell on Henrietta,139408
Strange Days,281
The Umbrellas of Cherbourg,5967
The Tie That Binds,79593
Three Wishes,47939
Total Eclipse,36834
"To Wong Foo, Thanks for Everything! Julie Newmar",9090
Under Siege 2: Dark Territory,3512
Unstrung Heroes,52856
Unzipped,77350
A Walk in the Clouds,9560
Waterworld,9804
White Man's Burden,31611
Wild Bill,65796
The Browning Version,49805
Bushwhacked,26258
Burnt by the Sun,50797
Before the Rain,19155
Before Sunrise,76
Billy Madison,11017
The Babysitter,37141
Boys on the Side,9382
The Cure,6715
Castle Freak,18256
Circle of Friends,22625
Clerks,2292
Don Juan DeMarco,1909
Disclosure,8984
Dream Man,61813
Drop Zone,4954
Destiny Turns on the Radio,62488
Death and the Maiden,10531
Dolores Claiborne,11929
Dumb and Dumber,8467
Eat Drink Man Woman,10451
Exotica,20156
Exit to Eden,18395
Ed Wood,522
French Kiss,397
Forget Paris,10525
Far from Home: The Adventures of Yellow Dog,27985
A Goofy Movie,15789
Hideaway,27303
Fluke,21183
Farinelli,10954
Gordy,47867
Gumby: The Movie,43475
The Glass Shield,72031
Hoop Dreams,14275
Heavenly Creatures,1024
Houseguest,17207
Immortal Beloved,13701
Heavyweights,14819
The Hunted,32631
I.Q.,11777
Interview with the Vampire,628
Jefferson in Paris,87729
The Jerky Boys,18713
Junior,6280
Just Cause,9061
A Kid in King Arthur's Court,37108
Kiss of Death,6071
Star Wars,11
Little Women,9587
A Little Princess,19101
Ladybird Ladybird,49980
L'Enfer,17961
Like Water for Chocolate,18183
Legends of the Fall,4476
